environment,setup1,setup2,test,n1,n2,mean1,mean2,median1,median2,std1,std2,statistic,pvalue,significant,effect_size,interpretation
minatar-breakout,DWDI,DWSI,ttest,200,200,519.996201171875,521.294521484375,536.81298828125,527.6767578125,81.99437766869086,64.54287369370118,-0.17595662868666137,0.8604175075542978,False,-0.017595662868666137,negligible
minatar-breakout,DWDI,DWSI,mannwhitneyu,200,200,519.996201171875,521.294521484375,536.81298828125,527.6767578125,81.99437766869086,64.54287369370118,20980.0,0.39687611499333897,False,-0.04899999999999993,
minatar-breakout,DWDI,DWSI,kolmogorov_smirnov,200,200,519.996201171875,521.294521484375,536.81298828125,527.6767578125,81.99437766869086,64.54287369370118,0.105,0.220541217580421,False,,
minatar-breakout,DWDI,DWSI,welch_ttest,200,200,519.996201171875,521.294521484375,536.81298828125,527.6767578125,81.99437766869086,64.54287369370118,-0.1759566286866614,0.8604224419127986,False,,
minatar-breakout,DWDI,SWDI,ttest,200,200,519.996201171875,473.43884765625,536.81298828125,489.21142578125,81.99437766869086,89.18666522876319,5.434750578502363,9.583524384273648e-08,True,0.5434750578502363,medium
minatar-breakout,DWDI,SWDI,mannwhitneyu,200,200,519.996201171875,473.43884765625,536.81298828125,489.21142578125,81.99437766869086,89.18666522876319,27671.0,3.2547229981492225e-11,True,-0.38355000000000006,
minatar-breakout,DWDI,SWDI,kolmogorov_smirnov,200,200,519.996201171875,473.43884765625,536.81298828125,489.21142578125,81.99437766869086,89.18666522876319,0.38,2.9623487356936016e-13,True,,
minatar-breakout,DWDI,SWDI,welch_ttest,200,200,519.996201171875,473.43884765625,536.81298828125,489.21142578125,81.99437766869086,89.18666522876319,5.434750578502363,9.619455579388578e-08,True,,
minatar-breakout,DWSI,SWDI,ttest,200,200,521.294521484375,473.43884765625,527.6767578125,489.21142578125,64.54287369370118,89.18666522876319,6.147468879139451,1.9150711759094785e-09,True,0.614746887913945,medium
minatar-breakout,DWSI,SWDI,mannwhitneyu,200,200,521.294521484375,473.43884765625,527.6767578125,489.21142578125,64.54287369370118,89.18666522876319,27301.0,2.709833610593335e-10,True,-0.3650500000000001,
minatar-breakout,DWSI,SWDI,kolmogorov_smirnov,200,200,521.294521484375,473.43884765625,527.6767578125,489.21142578125,64.54287369370118,89.18666522876319,0.33,4.869254633582969e-10,True,,
minatar-breakout,DWSI,SWDI,welch_ttest,200,200,521.294521484375,473.43884765625,527.6767578125,489.21142578125,64.54287369370118,89.18666522876319,6.147468879139451,2.077395820237968e-09,True,,
minatar-freeway,DWDI,DWSI,ttest,200,200,68.779013671875,68.7767333984375,68.79345703125,68.775390625,0.12816880369541594,0.11866290771213499,0.18462654679108195,0.8536160011551264,False,0.0184626546791082,negligible
minatar-freeway,DWDI,DWSI,mannwhitneyu,200,200,68.779013671875,68.7767333984375,68.79345703125,68.775390625,0.12816880369541594,0.11866290771213499,20586.5,0.6122508592043597,False,-0.029325000000000045,
minatar-freeway,DWDI,DWSI,kolmogorov_smirnov,200,200,68.779013671875,68.7767333984375,68.79345703125,68.775390625,0.12816880369541594,0.11866290771213499,0.08,0.5452713464323318,False,,
minatar-freeway,DWDI,DWSI,welch_ttest,200,200,68.779013671875,68.7767333984375,68.79345703125,68.775390625,0.12816880369541594,0.11866290771213499,0.18462654679108198,0.8536165572149945,False,,
minatar-freeway,DWDI,SWDI,ttest,200,200,68.779013671875,68.83240234375,68.79345703125,68.845703125,0.12816880369541594,0.11947933629168991,-4.309003658802246,2.068974112324653e-05,True,-0.4309003658802246,small
minatar-freeway,DWDI,SWDI,mannwhitneyu,200,200,68.779013671875,68.83240234375,68.79345703125,68.845703125,0.12816880369541594,0.11947933629168991,15156.0,2.796670024215502e-05,True,0.24219999999999997,
minatar-freeway,DWDI,SWDI,kolmogorov_smirnov,200,200,68.779013671875,68.83240234375,68.79345703125,68.845703125,0.12816880369541594,0.11947933629168991,0.195,0.0009668691315127085,True,,
